Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
3,0.069,1.0,@damaresalves,1436,"Wed, 12 Feb 2020 03:54:36 GMT",,400,4,user_mentions
15,0.069,0.7,@andrezamatais,467,"Wed, 12 Feb 2020 03:56:09 GMT",,2100,21,user_mentions
251,0.067,0.7,com,10937,"Wed, 12 Feb 2020 03:56:16 GMT",,754,409,intext
1,0.067,2.7,@marceloprof88,8102,"Wed, 12 Feb 2020 03:54:36 GMT",,100,1,user_mentions
1,0.066,2.5,@gleitoncabral,10644,"Wed, 12 Feb 2020 00:22:58 GMT",http://pbs.twimg.com/media/EQiOfg2X0AAUWPD.jpg,100,1,user_mentions
1,0.066,2.5,https://twitter.com/gleitoncabral/status/1227387582759276544/photo/1,10647,"Wed, 12 Feb 2020 00:22:58 GMT",http://pbs.twimg.com/media/EQiOfg2X0AAUWPD.jpg,100,1,media
1,0.065,2.5,@alexoli74633599,675,"Wed, 12 Feb 2020 01:14:21 GMT",,100,1,user_mentions
1,0.063,1.0,@matheus82186360,13472,"Wed, 12 Feb 2020 03:49:23 GMT",,300,3,user_mentions
5,0.063,0.8,@maraluquet,2337,"Wed, 12 Feb 2020 03:52:54 GMT",,600,6,user_mentions
5,0.063,0.8,@jubraga1,2338,"Wed, 12 Feb 2020 03:52:54 GMT",,600,6,user_mentions
5,0.063,0.8,@antoniotabet,2336,"Wed, 12 Feb 2020 03:52:54 GMT",,600,6,user_mentions
44,0.062,0.6,@carlazambelli38,51,"Wed, 12 Feb 2020 03:55:50 GMT",,2250,46,user_mentions
2,0.062,1.0,@hidlex,4286,"Wed, 12 Feb 2020 03:39:02 GMT",,300,3,user_mentions
2,0.062,1.0,@rubensc97124695,3290,"Wed, 12 Feb 2020 03:39:30 GMT",http://pbs.twimg.com/media/EQidx4iXsAAzuhl.jpg,300,3,user_mentions
2,0.062,1.0,https://twitter.com/rubensc97124695/status/1227404381974339585/photo/1,3292,"Wed, 12 Feb 2020 03:39:30 GMT",http://pbs.twimg.com/media/EQidx4iXsAAzuhl.jpg,300,3,media
1,0.062,2.3,@frentepatriot88,18189,"Wed, 12 Feb 2020 00:08:04 GMT",,100,1,user_mentions
1,0.062,2.3,@tatibertini,18190,"Wed, 12 Feb 2020 00:08:04 GMT",,100,1,user_mentions
8,0.061,0.7,@npto,548,"Wed, 12 Feb 2020 03:52:32 GMT",,1100,11,user_mentions
3,0.060,0.9,@eusouvult,3829,"Wed, 12 Feb 2020 03:41:51 GMT",,400,4,user_mentions
48,0.060,0.7,@danielalima_,232,"Wed, 12 Feb 2020 03:56:01 GMT",,250,62,user_mentions
1,0.060,2.3,@mariado97734767,4712,"Wed, 12 Feb 2020 03:38:32 GMT",,100,1,user_mentions
3,0.060,1.0,@onlyonecart,2022,"Wed, 12 Feb 2020 03:38:28 GMT",,300,3,user_mentions
2,0.060,1.4,@joaomassa,8037,"Wed, 12 Feb 2020 03:53:55 GMT",,200,2,user_mentions
10,0.059,0.7,@marinaadias,3558,"Wed, 12 Feb 2020 03:51:04 GMT",,1100,11,user_mentions
11,0.058,0.7,@julianadalpiva,3559,"Wed, 12 Feb 2020 03:51:04 GMT",,550,12,user_mentions
3,0.058,1.1,@crismenshova,2786,"Wed, 12 Feb 2020 03:44:19 GMT",,150,4,user_mentions
8,0.058,0.7,@ilonaszaboc,1130,"Wed, 12 Feb 2020 03:46:20 GMT",,1400,14,user_mentions
1,0.057,1.4,@ewertonmartins,11029,"Wed, 12 Feb 2020 03:49:08 GMT",,200,2,user_mentions
1,0.056,2.1,@reyfigueiredo,3777,"Wed, 12 Feb 2020 01:35:56 GMT",,100,1,user_mentions
1,0.056,2.1,@afericao,8313,"Wed, 12 Feb 2020 03:39:33 GMT",http://pbs.twimg.com/media/EQi7fqKW4AITi7u.jpg,100,1,user_mentions
